id,exchange,pair,base_currency,stake_currency,is_open,fee_open,fee_open_cost,fee_open_currency,fee_close,fee_close_cost,fee_close_currency,open_rate,open_rate_requested,open_trade_value,close_rate,close_rate_requested,realized_profit,close_profit,close_profit_abs,stake_amount,max_stake_amount,amount,amount_requested,open_date,close_date,stop_loss,stop_loss_pct,initial_stop_loss,initial_stop_loss_pct,is_stop_loss_trailing,max_rate,min_rate,exit_reason,exit_order_status,strategy,enter_tag,timeframe,trading_mode,amount_precision,price_precision,precision_mode,precision_mode_price,contract_size,leverage,is_short,liquidation_price,interest_rate,funding_fees,funding_fee_running,record_version
1,binance,AVAX/USDT:USDT,AVAX,USDT,0,0.0002,0.6295968,USDT,0.0002,0.6553008,USDT,24.984,24.984,3148.6135968,26.004,26.004,126.27895174,0.0401062079730393,126.27895174,3147.984,3147.984,126.0,126.747785249226,"2025-09-08 07:34:53.370226","2025-09-09 06:57:43.961000",23.735,-0.05,23.735,-0.05,0,26.073,24.842,roi,closed,EnhancedADXRSI,"",60,FUTURES,1.0,0.001,4,4,1.0,1.0,0,1.249,0.0,-0.956150658666,0.0,2
2,binance,ADA/USDT:USDT,ADA,USDT,0,0.0002,0.63324382,USDT,0.0002,0.65920074,USDT,0.8441,0.8441,3166.85234382,0.8787,0.8787,127.52727951,0.0402694112843199,127.52727951,3166.2191,3166.2191,3751.0,3751.53022943569,"2025-09-08 07:34:54.824129","2025-09-09 06:15:16.194000",0.8019,-0.05,0.8019,-0.05,0,0.8787,0.8407,roi,closed,EnhancedADXRSI,"",60,FUTURES,1.0,0.0001,4,4,1.0,1.0,0,0.0422,0.0,-0.964875934154,0.0,2
3,binance,LTC/USDT:USDT,LTC,USDT,0,0.0002,0.63332384,USDT,0.0005,1.66268544,USDT,112.9,112.9,3165.98587616,118.56,118.56,-160.36898828,-0.0506537282707371,-160.36898828,3166.6192,3166.6192,28.048,28.0484204310599,"2025-09-08 07:34:56.774034","2025-09-10 16:30:54.902000",118.54,-0.05,118.54,-0.05,0,118.56,110.75,stop_loss,closed,EnhancedADXRSI,"",60,FUTURES,0.001,0.01,4,4,1.0,1.0,1,219.09,0.0,0.678700998157543,0.0,2
4,binance,NEAR/USDT:USDT,NEAR,USDT,0,0.0002,0.64128,USDT,0.0002,0.66744,USDT,2.672,2.672,3207.04128,2.781,2.781,129.16848,0.0402765255332167,129.16848,3206.4,3206.4,1200.0,1200.24337768644,"2025-09-09 06:15:17.676583","2025-09-09 10:33:01.974000",2.539,-0.05,2.539,-0.05,0,2.781,2.662,roi,closed,EnhancedADXRSI,"",60,FUTURES,1.0,0.001,4,4,1.0,1.0,0,0.134,0.0,-0.3228,0.0,2
5,binance,SOL/USDT:USDT,SOL,USDT,0,0.0005,1.6230092,USDT,0.0002,0.677616,USDT,218.44,218.44,3247.6414092,228.0,228.0,138.24171775,0.0425668047458643,138.24171775,3246.0184,3246.0184,14.86,14.8646705726782,"2025-09-09 07:00:12.902695","2025-09-11 12:10:28.346000",207.52,-0.05,207.52,-0.05,0,228.0,211.69,roi,closed,EnhancedADXRSI,"",60,FUTURES,0.01,0.01,4,4,1.0,1.0,0,10.92,0.0,-1.51925704681029,0.0,2
6,binance,ADA/USDT:USDT,ADA,USDT,0,0.0002,0.65758336,USDT,0.0005,1.712147,USDT,0.8848,0.8848,3288.57438336,0.9215,0.9215,130.61213371,0.0397169467629773,130.61213371,3287.9168,3287.9168,3716.0,3716.02847185334,"2025-09-09 10:33:03.104485","2025-09-13 00:11:25.515000",0.8406,-0.05,0.8406,-0.05,0,0.9215,0.8524,roi,closed,EnhancedADXRSI,"",60,FUTURES,1.0,0.0001,4,4,1.0,1.0,0,0.0442,0.0,-3.395335932904,0.0,2
7,binance,AVAX/USDT:USDT,AVAX,USDT,0,0.0002,0.6345204,USDT,0.0002,0.661782,USDT,28.582,28.582,3173.2365204,29.81,29.81,134.6845362,0.042443900835675,134.6845362,3172.602,3172.602,111.0,111.172774362238,"2025-09-10 16:30:56.557352","2025-09-11 04:05:08.134000",27.153,-0.05,27.153,-0.05,0,29.81,28.413,roi,closed,EnhancedADXRSI,"",60,FUTURES,1.0,0.001,4,4,1.0,1.0,0,1.429,0.0,-0.3271614,0.0,2
8,binance,AVAX/USDT:USDT,AVAX,USDT,0,0.0005,1.630496,USDT,0.0005,1.700272,USDT,29.116,29.116,3262.622496,30.362,30.362,135.0156482,0.0413825529510479,135.0156482,3260.992,3260.992,112.0,112.646262607175,"2025-09-11 05:00:19.635520","2025-09-13 04:13:02.708000",27.661,-0.05,27.661,-0.05,0,30.362,28.224,roi,closed,EnhancedADXRSI,"",60,FUTURES,1.0,0.001,4,4,1.0,1.0,0,1.456,0.0,-1.20558380438428,0.0,2
9,binance,SOL/USDT:USDT,SOL,USDT,0,0.0002,0.6644654,USDT,0.0005,1.73023825,USDT,226.78,226.78,3322.9914654,236.21,236.21,135.43183314,0.0407559978862894,135.43183314,3322.327,3322.327,14.65,14.6555477821001,"2025-09-11 13:00:24.314768","2025-09-12 04:27:24.546000",215.45,-0.05,215.45,-0.05,0,236.21,224.21,roi,closed,EnhancedADXRSI,"",60,FUTURES,0.01,0.01,4,4,1.0,1.0,0,11.34,0.0,-0.322963211249422,0.0,2
10,binance,SOL/USDT:USDT,SOL,USDT,0,0.0002,0.67314522,USDT,0.0002,0.70053192,USDT,237.19,237.19,3366.39924522,246.84,246.84,135.06525694,0.0401215800923735,135.06525694,3365.7261,3365.7261,14.19,14.1931442016344,"2025-09-12 05:01:03.123798","2025-09-14 02:03:12.466000",225.34,-0.05,225.34,-0.05,0,246.84,235.8,roi,closed,EnhancedADXRSI,"",60,FUTURES,0.01,0.01,4,4,1.0,1.0,0,11.86,0.0,-0.49456592356497,0.0,2
11,binance,ETH/USDT:USDT,ETH,USDT,0,0.0002,0.680752584,USDT,0.0002,0.64657544,USDT,4701.33,4701.33,3404.443672584,4465.3,4465.3,-173.82602142,-0.0510585687816843,-173.82602142,3403.76292,3403.76292,0.724,0.724865598074127,"2025-09-13 00:11:29.372584","2025-09-15 15:34:06.163000",4466.27,-0.05,4466.27,-0.05,0,4763.8,4464.4,stop_loss,closed,EnhancedADXRSI,"",60,FUTURES,0.001,0.01,4,4,1.0,1.0,0,235.07,0.0,-1.61297339844279,0.0,2
12,binance,DOGE/USDT:USDT,DOGE,USDT,0,0.0002,0.690079288,USDT,0.0002,0.718116872,USDT,0.28403,0.28403,3451.086519288,0.29557,0.29557,138.435899,0.0401137143987225,138.435899,3450.39644,3450.39644,12148.0,12148.6721031481,"2025-09-13 05:00:15.776031","2025-09-13 09:53:11.779000",0.26983,-0.05,0.26983,-0.05,0,0.29557,0.28091,roi,closed,EnhancedADXRSI,"",60,FUTURES,1.0,1.0e-05,4,4,1.0,1.0,0,0.0142,0.0,-0.343824844,0.0,2
13,binance,ADA/USDT:USDT,ADA,USDT,0,0.0002,0.69885394,USDT,0.0002,0.66091046,USDT,0.9467,0.9467,3494.96855394,0.8953,0.8953,-192.10417906,-0.0549659248989334,-192.10417906,3494.2697,3494.2697,3691.0,3691.16443661191,"2025-09-13 09:53:13.097866","2025-09-14 12:49:50.369000",0.8994,-0.05,0.8994,-0.05,0,0.9539,0.8951,stop_loss,closed,EnhancedADXRSI,"",60,FUTURES,1.0,0.0001,4,4,1.0,1.0,0,0.0473,0.0,-1.02701465985,0.0,2
14,binance,DOGE/USDT:USDT,DOGE,USDT,0,0.0005,1.76858478,USDT,0.0002,0.671963688,USDT,0.29079,0.29079,3538.93814478,0.27621,0.27621,-180.14642444,-0.0509040896082683,-180.14642444,3537.16956,3537.16956,12164.0,12164.0910514054,"2025-09-14 02:03:13.671200","2025-09-14 14:44:04.370000",0.27626,-0.05,0.27626,-0.05,0,0.29496,0.27527,stop_loss,closed,EnhancedADXRSI,"",60,FUTURES,1.0,1.0e-05,4,4,1.0,1.0,0,0.01454,0.0,-0.354755968388,0.0,2
15,binance,INJ/USDT:USDT,INJ,USDT,0,0.0005,1.7378964,USDT,0.0002,0.66686376,USDT,14.004,14.004,3474.0549036,13.434,13.434,140.10721772,0.0403295922510647,140.10721772,3475.7928,3475.7928,248.2,248.240720280099,"2025-09-14 12:49:51.852865","2025-09-15 14:11:15.595000",14.704,-0.05,14.704,-0.05,0,14.312,13.433,roi,closed,EnhancedADXRSI,"",60,FUTURES,0.1,0.001,4,4,1.0,1.0,1,27.044,0.0,1.0379778792632,0.0,2
16,binance,ADA/USDT:USDT,ADA,USDT,1,0.0002,0.67551856,USDT,0.0002,,,0.8828,0.8828,3376.91728144,,,0.0,,,3377.5928,3377.5928,3826.0,3826.90792613219,"2025-09-14 14:44:05.499125",,0.9269,-0.05,0.9269,-0.05,0,0.902,0.8521,,,EnhancedADXRSI,"",60,FUTURES,1.0,0.0001,4,4,1.0,1.0,1,1.7131,0.0,0.39746429779325,0.39746429779325,2
17,binance,LINK/USDT:USDT,LINK,USDT,1,0.0002,0.692734896,USDT,0.0002,,,23.156,23.156,3462.981745104,,,0.0,,,3463.67448,3463.67448,149.58,149.580409599002,"2025-09-15 14:11:17.633487",,24.313,-0.05,24.313,-0.05,0,23.385,22.988,,,EnhancedADXRSI,"",60,FUTURES,0.01,0.001,4,4,1.0,1.0,1,44.935,0.0,-0.123515548395257,-0.123515548395257,2
18,binance,SOL/USDT:USDT,SOL,USDT,1,0.0002,0.67657392,USDT,0.0002,,,232.98,232.98,3382.19302608,,,0.0,,,3382.8696,3382.8696,14.52,14.5276414012984,"2025-09-15 15:34:07.243856",,244.62,-0.05,244.62,-0.05,0,233.51,230.73,,,EnhancedADXRSI,"",60,FUTURES,0.01,0.01,4,4,1.0,1.0,1,452.11,0.0,0.162771592201815,0.162771592201815,2
